#  N    Kx    Ky    lambda
4 0 2 2.9391216035021e-12
4 0 2 2.1558502689166e-12
4 0 2 2.1166270713749e-12
4 0 2 1.9634790632671e-12
4 0 2 1.9094012981409e-12
4 0 2 1.5452788614206e-12
4 0 2 1.3037459520077e-12
4 0 2 1.1266032088669e-12
4 0 2 9.4956345227373e-13
4 0 2 8.6718141991822e-13
4 0 2 6.9930309284734e-13
4 0 2 5.6725865525695e-13
4 0 2 4.3993885453532e-13
4 0 2 3.7073365080762e-13
4 0 2 3.1915398333461e-13
4 0 2 3.0550931638005e-13
4 0 2 2.6546840517579e-13
4 0 2 2.6124555096099e-13
4 0 2 2.2073289153908e-13
4 0 2 1.9947661326347e-13
4 0 2 1.983883124064e-13
4 0 2 1.7991766932858e-13
4 0 2 1.6055047737537e-13
4 0 2 1.3500890146611e-13
4 0 2 1.336719803686e-13
4 0 2 1.2404404109859e-13
4 0 2 9.9223969522346e-14
4 0 2 9.8976346280099e-14
4 0 2 9.5418433209586e-14
4 0 2 7.9589837240658e-14
4 0 2 7.8963649352383e-14
4 0 2 7.4751929826038e-14
4 0 2 5.7405325307013e-14
4 0 2 5.6151401956232e-14
4 0 2 5.3501686334746e-14
4 0 2 4.738568341624e-14
4 0 2 3.8891595531778e-14
4 0 2 3.8548195875614e-14
4 0 2 3.3208579957759e-14
4 0 2 3.0547877736829e-14
4 0 2 2.7551579673667e-14
4 0 2 2.7060885214971e-14
4 0 2 2.0021281458951e-14
4 0 2 1.7471928592706e-14
4 0 2 1.6110932202324e-14
4 0 2 1.4316733095691e-14
4 0 2 1.042657524683e-14
4 0 2 1.0270967220645e-14
4 0 2 9.6949403060151e-15
4 0 2 8.8786958133371e-15
4 0 2 8.4125031073197e-15
4 0 2 8.0167369204578e-15
4 0 2 7.1034480961726e-15
4 0 2 6.2521328385144e-15
4 0 2 6.1384578668704e-15
4 0 2 5.8372363758443e-15
4 0 2 5.265071768819e-15
4 0 2 5.1487910566597e-15
4 0 2 4.6277067981581e-15
4 0 2 4.1277610556659e-15
4 0 2 3.8527598523637e-15
4 0 2 3.324216837779e-15
4 0 2 2.9110554877823e-15
4 0 2 2.7853657644406e-15
4 0 2 2.4911018421547e-15
4 0 2 2.273834075067e-15
4 0 2 2.0480580599906e-15
4 0 2 1.9349264658066e-15
4 0 2 1.7041356945416e-15
4 0 2 1.6561315357351e-15
4 0 2 1.4008436462186e-15
4 0 2 1.2675658597495e-15
4 0 2 1.0042068890103e-15
4 0 2 9.0396478310282e-16
4 0 2 4.1752354791701e-16
4 0 2 3.8746348871784e-16
4 0 2 2.7768138296076e-16
4 0 2 2.1658479733471e-16
4 0 2 3.0266595036529e-18
4 0 2 2.9345092778289e-18
4 0 2 2.4911228759811e-18
4 0 2 1.3222201875495e-18
4 0 3 0.0027774932374806
4 0 3 0.0027741174092922
4 0 3 0.0027737253624989
4 0 3 0.0027704045831868
4 0 3 0.0024405257771185
4 0 3 0.0024382507173324
4 0 3 0.0024377778146396
4 0 3 0.0024354794907943
4 0 3 0.0021246035631052
4 0 3 0.0021231311041754
4 0 3 0.0021227772000791
4 0 3 0.0021213170273057
4 0 3 0.0018043537747675
4 0 3 0.0018040685587826
4 0 3 0.0018030240838553
4 0 3 0.0018027186457046
4 0 3 0.0015515419248561
4 0 3 0.0015514289398706
4 0 3 0.0015504626874206
4 0 3 0.001550359155588
4 0 3 0.0014911685740986
4 0 3 0.0014901908482137
4 0 3 0.0014897316843824
4 0 3 0.0014887622007325
4 0 3 0.00137310407471
4 0 3 0.0013720217312498
4 0 3 0.001371971694618
4 0 3 0.001370939129292
4 0 3 0.0010819050152707
4 0 3 0.0010809805581574
4 0 3 0.001080892951667
4 0 3 0.0010799807603835
4 0 3 0.00084968525422986
4 0 3 0.00084907513500435
4 0 3 0.00084902777125247
4 0 3 0.00084841711342721
4 0 3 0.00067282678640632
4 0 3 0.00067277752275958
4 0 3 0.00067244867663318
4 0 3 0.00067240734407731
4 0 3 1.4308627367288e-09
4 0 3 1.319911649719e-09
4 0 3 1.3071309456099e-09
4 0 3 1.1878924234244e-09
4 0 3 1.143849794189e-09
4 0 3 1.0225911710315e-09
4 0 3 9.1518867835264e-10
4 0 3 9.0358973584917e-10
4 0 3 8.4349357117812e-10
4 0 3 7.5863924196743e-10
4 0 3 7.2125122825599e-10
4 0 3 7.0283318060065e-10
4 0 3 6.2587113835993e-10
4 0 3 6.1106007314149e-10
4 0 3 5.8135781468012e-10
4 0 3 5.6251061959448e-10
4 0 3 5.1422072954633e-10
4 0 3 4.9077654329497e-10
4 0 3 4.6797655625666e-10
4 0 3 4.3259400535244e-10
4 0 3 4.0640159680684e-10
4 0 3 3.9058550193705e-10
4 0 3 3.8822174252206e-10
4 0 3 3.6119232337575e-10
4 0 3 3.4133915283804e-10
4 0 3 3.3614324750169e-10
4 0 3 3.1716061685652e-10
4 0 3 3.0065107260353e-10
4 0 3 2.9253990636668e-10
4 0 3 2.8374114497517e-10
4 0 3 2.7318813987811e-10
4 0 3 2.6316008295102e-10
4 0 3 2.4914231354671e-10
4 0 3 2.3657444545254e-10
4 0 3 2.3558955516641e-10
4 0 3 2.1928806062176e-10
4 0 3 2.1121915674499e-10
4 0 3 1.9285405042978e-10
4 0 3 1.7851540033829e-10
4 0 3 1.7304135886332e-10
4 0 3 1.6951990880263e-10
4 0 3 1.6307034390525e-10
4 0 3 1.5662715617683e-10
4 0 3 1.4723539579278e-10
4 0 3 1.3862955332682e-10
4 0 3 1.3470884214884e-10
4 0 3 1.2961672688026e-10
4 0 3 1.2753413643647e-10
4 0 3 1.2630767641578e-10
4 0 3 1.150280891608e-10
4 0 3 1.1261525512096e-10
4 0 3 1.111543153268e-10
4 0 3 1.0319589128115e-10
4 0 3 1.0114553776368e-10
4 0 3 9.8142369173047e-11
4 0 3 9.2499279098673e-11
4 0 3 8.933623407622e-11
4 0 3 8.7055261421042e-11
4 0 3 8.3644185937279e-11
4 0 3 8.1597566947738e-11
4 0 3 7.774520258427e-11
4 0 3 7.5289984963516e-11
4 0 3 7.1132970029784e-11
